"","group","lib.size","norm.factors"
"SRR10192322","1",398817,1.11223439162485
"SRR10192326","1",359454,0.930057285969936
"SRR10192328","1",708132,0.565063577930391
"SRR10192329","1",592351,0.846710830462693
"SRR10192330","1",297484,1.14265406838254
"SRR10192331","1",268130,0.934288762524608
"SRR10192333","1",618216,0.771339219498876
"SRR10192337","1",679757,0.350272369724239
"SRR10192340","1",345974,0.746191061107645
"SRR10192341","1",242220,1.04597310767858
"SRR10192342","1",1416772,0.6199987093166
"SRR10192343","1",1999593,0.93355407840711
"SRR10192347","1",2470156,0.937329221119719
"SRR10192350","1",1909884,1.00450561137
"SRR10192352","1",5540328,1.29417651790779
"SRR10192353","1",4181995,1.06462644604466
"SRR10192354","1",2708011,1.28663864031025
"SRR10192355","1",2921738,1.30214600218407
"X1741_sediment_repool","1",1640831,0.472530501324569
"X1742_sediment","1",2650521,0.551733527719789
"X1742_supt_purple_repool","1",1446905,1.45079638475276
"X1747_sediment_repool","1",2127185,1.40951778015851
"X1747_supt_purple_repool","1",1990647,1.44524222788457
"X1748_sediment_repool","1",1149219,0.861253486355812
"X1748_supt_purple_repool","1",497262,1.47218491744135
"X1749_supt_purple","1",231872,1.35667118560741
"X1754_sediment_repool","1",3183669,0.413992050021562
"X1761_sediment","1",5052008,0.555765160979601
"N1_sediment","1",801192,1.10410212089092
"X221_sediment_repool","1",1282544,0.472563240470685
"X221_supt_purple_repool","1",502753,1.47222932909502
"N2_sediment","1",107136,1.24994015695066
"X1741_supt_repool","1",393166,1.13803140439883
"X1746_sediment_repool","1",182226,0.846473285791405
"X1746_supt_repool","1",325246,1.58433024979711
"X1749_sediment","1",1797273,0.603240028892811
"X1755_sediment_repool","1",1839985,1.36991043632155
"X1756_sediment_repool","1",4875811,1.2262549929933
"X1757_sediment_repool","1",2239440,1.39017299221665
"X1757_supt_repool","1",185386,1.50834614420534
"N1_supt_repool","1",404057,1.45646968599958
"N2_supt_repool","1",580829,1.49862255756655
"N3_supt_repool","1",600778,1.49470843965005
"N4_sediment_repool","1",1728823,0.700695669091171
"N5_sediment_repool","1",745741,1.24620780591836
"N5_supt_repool","1",369423,1.47138569885952
"N6_sediment_repool","1",767559,1.18958580258243
"N6_supt_repool","1",849679,1.50681986447505
